time_s,transmitter,receiver,source_mac,dest_mac,packet_name,packet_bytes
259.600075179,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2296",236
259.600247358,gateway,uav1,0A-AA-00-00-00-02,0A-AA-00-00-00-04,"GcsCommand-459",136
259.600401033,uav1,uav3,0A-AA-00-00-00-04,0A-AA-00-00-00-06,"GcsCommand-459",136
259.610075179,uav2,gateway,0A-AA-00-00-00-05,0A-AA-00-00-00-02,"UavTelemetry-2296",236
259.620074675,uav3,uav1,0A-AA-00-00-00-06,0A-AA-00-00-00-04,"UavTelemetry-2296",236
259.620275854,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2296",236
259.630074699,uav4,uav1,0A-AA-00-00-00-07,0A-AA-00-00-00-04,"UavTelemetry-2296",236
259.630284878,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2296",236
259.640074677,uav5,gateway,0A-AA-00-00-00-08,0A-AA-00-00-00-02,"UavTelemetry-2296",236
259.650074995,uav6,uav1,0A-AA-00-00-00-09,0A-AA-00-00-00-04,"UavTelemetry-2296",236
259.650231174,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2296",236
259.650376353,gateway,uav1,0A-AA-00-00-00-02,0A-AA-00-00-00-04,"GcsCommand-459",136
259.650503052,uav1,uav4,0A-AA-00-00-00-04,0A-AA-00-00-00-07,"GcsCommand-459",136
259.700075179,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2297",236
259.700219854,gateway,uav5,0A-AA-00-00-00-02,0A-AA-00-00-00-08,"GcsCommand-459",136
259.710075179,uav2,gateway,0A-AA-00-00-00-05,0A-AA-00-00-00-02,"UavTelemetry-2297",236
259.720074675,uav3,uav1,0A-AA-00-00-00-06,0A-AA-00-00-00-04,"UavTelemetry-2297",236
259.720320854,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2297",236
259.730074702,uav4,uav1,0A-AA-00-00-00-07,0A-AA-00-00-00-04,"UavTelemetry-2297",236
259.730257881,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2297",236
259.740074674,uav5,gateway,0A-AA-00-00-00-08,0A-AA-00-00-00-02,"UavTelemetry-2297",236
259.750074995,uav6,uav1,0A-AA-00-00-00-09,0A-AA-00-00-00-04,"UavTelemetry-2297",236
259.750239353,gateway,uav1,0A-AA-00-00-00-02,0A-AA-00-00-00-04,"GcsCommand-459",136
259.750476532,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2297",236
259.750676706,uav1,uav6,0A-AA-00-00-00-04,0A-AA-00-00-00-09,"GcsCommand-459",136
259.800075179,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2298",236
259.810075179,uav2,gateway,0A-AA-00-00-00-05,0A-AA-00-00-00-02,"UavTelemetry-2298",236
259.820074675,uav3,uav1,0A-AA-00-00-00-06,0A-AA-00-00-00-04,"UavTelemetry-2298",236
259.820284854,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2298",236
259.830074704,uav4,uav1,0A-AA-00-00-00-07,0A-AA-00-00-00-04,"UavTelemetry-2298",236
259.830239883,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2298",236
259.840074671,uav5,gateway,0A-AA-00-00-00-08,0A-AA-00-00-00-02,"UavTelemetry-2298",236
259.850074995,uav6,uav1,0A-AA-00-00-00-09,0A-AA-00-00-00-04,"UavTelemetry-2298",236
259.850231174,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2298",236
259.900075179,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2299",236
259.910075179,uav2,gateway,0A-AA-00-00-00-05,0A-AA-00-00-00-02,"UavTelemetry-2299",236
259.920074675,uav3,uav1,0A-AA-00-00-00-06,0A-AA-00-00-00-04,"UavTelemetry-2299",236
259.920320854,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2299",236
